engine_power,age_in_days,km,previous_owners,price,model_lounge,model_pop,model_sport,transmission_manual
69,4474,56779,2,4490,0,1,0,1
69,2708,160000,1,4500,1,0,0,1
69,3470,170000,2,4500,1,0,0,0
69,3288,132000,2,4700,0,0,1,1
69,3712,124490,2,4790,0,0,1,1
69,3684,91000,1,4900,1,0,0,1
69,4353,90068,1,4950,1,0,0,0
69,4414,69000,2,5290,0,1,0,1
69,4322,117000,1,5399,1,0,0,0
99,4566,78000,1,5800,1,0,0,1
69,3500,121000,2,5850,1,0,0,1
69,3197,51083,2,5880,1,0,0,1
69,2251,87000,2,5990,1,0,0,1
69,3774,79000,1,6300,0,1,0,1
69,4018,101156,1,6499,1,0,0,1
69,2922,31350,1,6500,0,1,0,1
69,2588,71553,1,6700,0,0,1,1
69,2647,50000,2,6900,1,0,0,1
99,3592,74903,1,6900,1,0,0,0
69,2922,87000,2,6900,1,0,0,0
69,2070,114000,1,7000,1,0,0,1
69,1096,61197,2,7100,1,0,0,1
69,1096,62214,2,7100,1,0,0,1
69,2527,48000,1,7200,1,0,0,1
69,2251,73453,4,7300,1,0,0,1
69,1066,59961,2,7480,1,0,0,1
69,1066,59961,2,7480,1,0,0,1
69,2739,77149,3,7800,0,0,1,1
69,1096,57000,2,7900,1,0,0,1
69,762,16000,1,7990,1,0,0,1
69,1096,27200,1,7990,0,1,0,1
69,1886,55000,1,8000,1,0,0,1
69,1431,54600,2,8000,1,0,0,1
69,578,28000,1,8299,1,0,0,1
69,609,25000,1,8299,1,0,0,1
69,578,19000,1,8299,1,0,0,1
69,1521,37500,1,8490,0,1,0,1
69,762,36993,2,8980,1,0,0,1
69,762,36112,2,8980,1,0,0,1
69,762,36993,2,8980,1,0,0,1
69,425,14000,1,9200,1,0,0,1
69,397,16000,1,9200,1,0,0,1
69,1127,21365,2,9300,0,1,0,1
69,640,22100,2,9390,1,0,0,1
69,366,12929,2,9400,0,1,0,1
69,397,16755,1,9490,1,0,0,1
69,397,16755,1,9490,1,0,0,1
69,456,13215,1,9490,1,0,0,1
69,1370,27512,1,9490,1,0,0,1
69,456,15000,1,9499,1,0,0,1
69,456,15000,1,9499,1,0,0,1
69,456,11998,1,9590,1,0,0,1
69,456,11998,1,9590,1,0,0,1
69,456,11998,1,9590,1,0,0,1
69,790,39528,2,9600,1,0,0,1
69,183,29826,2,9680,1,0,0,1
69,397,12917,1,9690,1,0,0,1
69,456,20941,1,9700,1,0,0,1
69,456,20941,1,9700,1,0,0,1
69,456,20941,1,9700,1,0,0,1
69,701,39162,2,9780,0,0,1,1
69,790,19133,1,9850,1,0,0,1
69,456,11511,2,9890,1,0,0,1
69,456,15344,2,9890,1,0,0,1
69,456,17253,2,9890,1,0,0,1
69,548,22609,1,9900,1,0,0,1
69,640,18000,1,9900,1,0,0,1
69,244,14000,2,9900,1,0,0,1
69,762,22020,2,9900,1,0,0,1
69,397,9700,1,9950,1,0,0,1
69,701,17324,2,9950,1,0,0,1
69,152,56779,2,9950,0,1,0,1
69,152,56779,2,9950,0,1,0,1
69,397,16100,1,9970,1,0,0,1
69,397,15000,1,9970,0,1,0,1
69,275,16111,2,9980,1,0,0,1
69,731,12000,2,9980,1,0,0,1
69,397,18324,2,9990,1,0,0,1
69,701,56779,2,10180,0,0,1,1
69,487,56779,1,10500,1,0,0,1
69,456,18253,2,10900,1,0,0,1
69,456,21907,2,10900,1,0,0,1
69,91,56779,1,10950,0,1,0,1
69,275,7900,1,10990,0,0,0,1
69,397,8700,1,10990,0,1,0,1
69,670,9000,2,11090,0,1,0,1
69,640,24300,1,11200,0,1,0,1
69,640,16300,1,11600,0,1,0,1
69,366,12610,2,11850,1,0,0,0
69,91,56779,2,11890,1,0,0,1
69,366,10000,1,11900,1,0,0,0
69,762,26000,2,11970,1,0,0,1
69,275,4981,2,12279,0,1,0,0
69,91,56779,1,12450,0,0,1,1
69,91,56779,2,12450,0,0,1,1
69,91,56779,2,12890,1,0,0,0
69,1217,47983,1,12900,0,1,0,1
69,4596,259000,2,2890,1,0,0,1
101,4719,182000,2,3250,0,0,1,0
69,4292,190000,1,3300,1,0,0,0
69,3957,151000,1,3400,0,1,0,1
69,4627,148000,1,3500,0,1,0,1
69,4383,82000,2,3500,1,0,0,1
99,4658,165000,2,3600,0,1,0,1
69,4414,149000,1,3600,1,0,0,1
69,4077,151000,2,3650,0,0,1,1
99,4169,106500,1,3700,0,0,1,1
69,4535,125000,2,3750,0,1,0,1
99,4414,190000,1,3800,0,0,1,1
99,4414,115000,2,3900,1,0,0,1
69,3774,139000,2,3900,0,1,0,1
69,3804,110000,1,3900,0,1,0,1
69,4414,149326,2,3900,1,0,0,1
69,3288,160012,4,3900,0,0,1,1
69,4322,151500,1,3900,0,1,0,1
69,3774,124000,2,3900,1,0,0,1
69,2527,82000,1,3950,0,1,0,0
69,4383,107600,1,3950,0,1,0,1
69,4200,145900,2,3950,0,0,1,1
69,4566,173960,2,3990,0,1,0,1
69,4230,93000,1,3999,1,0,0,1
69,3470,87900,1,4000,1,0,0,1
69,4566,140000,1,4000,0,1,0,1
